country_iso3	country_name	n_country_years	n_with_known_prn	first_year	last_year	dominant_primary_series_formulation	dominant_booster_formulation	dominant_prn_in_vaccine_curated	dominant_formulation_confidence	known_prn_fraction	n_years_with_primary_product_metadata	n_years_with_booster_product_metadata	n_years_with_maternal_product_metadata	primary_product_metadata_fraction	booster_product_metadata_fraction	maternal_product_metadata_fraction	role_product_metadata_fraction	mean_primary_prn_positive_share	mean_primary_prn_negative_share	mean_primary_ap_share	mean_booster_prn_positive_share	mean_maternal_prn_positive_share	dominant_primary_products	dominant_primary_share_basis	product_coverage_note	source_file
GAB	Gabon	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GBR	United Kingdom	28	28	1997	2024	ap_prn_positive	ap_prn_positive	yes	high	1.0	21	21	0	0.750000	0.750000	0.000000	0.750000	0.75	0.0	0.75	0.75		UK routine 6-in-1 programme summary	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GEO	Georgia	25	14	2000	2024	wp_only	wp_or_unknown	no	medium	0.56	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.4166666666666667	0.2				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GHA	Ghana	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GIN	Guinea	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GMB	Gambia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GNB	Guinea-Bissau	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GNQ	Equatorial Guinea	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GRC	Greece	28	1	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.03571428571428571	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.4107142857142857				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GRD	Grenada	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GTM	Guatemala	25	20	2000	2024	wp_only	wp_only	no	high	0.8	20	20	0	0.800000	0.800000	0.000000	0.800000	0.0	0.0	0.2	0.1		Pentavalente public programme summary	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GUM	Guam	18	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
GUY	Guyana	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
HKG	China, Hong Kong SAR	2	0	2021	2022	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
HND	Honduras	25	23	2000	2024	wp_only	wp_or_unknown	no	medium	0.92	0	0	0	0.000000	0.000000	0.000000	0.000000	0.05434782608695652	0.05434782608695652	0.14583333333333334	0.07				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
HRV	Croatia	25	0	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000			1.0	0.48				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
HTI	Haiti	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
HUN	Hungary	27	5	1998	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.18518518518518517	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.35185185185185186				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
IDN	Indonesia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
IND	India	25	24	2000	2024	wp_only	wp_only	no	high	0.96	24	24	0	0.960000	0.960000	0.000000	0.960000	0.0	0.0	0.0	0.0		UIP DTwP and pentavalent programme summary	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
IRL	Ireland	27	1	1998	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.037037037037037035	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.42592592592592593				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
IRN	Iran	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
IRQ	Iraq	25	15	2000	2024	wp_only	wp_or_unknown	no	medium	0.6	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.375	0.18				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ISL	Iceland	28	5	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.17857142857142858	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.3392857142857143				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ISR	Israel	25	2	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.08	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9166666666666666	0.44				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ITA	Italy	26	5	1999	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.19230769230769232	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.36538461538461536				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
JAM	Jamaica	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
JOR	Jordan	25	9	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.36	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.625	0.3				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
JPN	Japan	25	25	2000	2024	ap_prn_negative	ap_prn_negative	no	high	1.0	25	0	0	1.000000	0.000000	0.000000	1.000000	0.27599999999999997	0.7240000000000001	1.0	0.24		Historical DTaP brands containing PRN; Historical DTaP brands without PRN	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KAZ	Kazakhstan	25	12	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.48	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.5	0.24				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KEN	Kenya	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KGZ	Kyrgyzstan	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KHM	Cambodia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KIR	Kiribati	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KNA	Saint Kitts and Nevis	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KOR	South Korea	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
KWT	Kuwait	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LAO	Laos	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LBN	Lebanon	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LBR	Liberia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LBY	Libya	25	12	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.48	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.5	0.24				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LCA	Saint Lucia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LKA	Sri Lanka	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LSO	Lesotho	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LTU	Lithuania	25	6	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.24	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.75	0.36				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LUX	Luxembourg	28	5	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.17857142857142858	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.3392857142857143				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
LVA	Latvia	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MAR	Morocco	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MCO	Monaco	25	5	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.2	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.38				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MDA	Moldova	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MDG	Madagascar	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MDV	Maldives	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MEX	Mexico	25	11	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.44	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.5416666666666666	0.26				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MHL	Marshall Islands	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MKD	North Macedonia	25	14	2000	2024	wp_only	wp_or_unknown	no	medium	0.56	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.4166666666666667	0.2				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MLI	Mali	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MLT	Malta	25	9	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.36	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.625	0.3				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MMR	Myanmar	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MNE	Montenegro	19	5	2006	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.2631578947368421	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7368421052631579	0.3684210526315789				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MNG	Mongolia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MNP	Northern Mariana Islands	19	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MOZ	Mozambique	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MRT	Mauritania	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MSR	Montserrat	10	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MUS	Mauritius	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MWI	Malawi	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
MYS	Malaysia	25	8	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.32	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.6666666666666666	0.32				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
NAM	Namibia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
NCL	New Caledonia	19	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
